,1. open,2. high,3. low,4. close,5. adjusted close,delta,count,avg_favorites_per_day,approve_estimate,disapprove_estimate
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,45.23322,49.77825
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,45.15903,49.53156
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.69143,49.79915
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.77391,49.68867
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.86759,49.60043
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.86759,49.60043
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.86759,49.60043
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.84227,49.52387
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.294,50.37005
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,45.53262,49.28985
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,45.56286,49.19039
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.48179,49.83215
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.48179,49.83215
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.66242,49.45398
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.53775,49.53732
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.32353,49.7077
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.16746,49.73203
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,45.41359,49.86423
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.31055,48.61903
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.31055,48.61903
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.21808,48.71865
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.23419000000001,48.68385
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.69795,47.94511
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.92523,47.53691
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.66296,45.71693
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.77325,45.41658
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.21463,44.72782
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.21463,44.72782
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,45.88868,44.48
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,45.86395,44.44283
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,45.01149,43.20672
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.67257,42.0221
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.74559,41.74476
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.38777,41.58635
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.38777,41.58635
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,44.62692,41.1728
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,48.61617,41.35324
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.0,37.0
2017-03-02,219.99,220.02,218.75,218.86,208.393,-5.271603254693399,1,175684.0,46.0,37.0
2017-03-03,218.7,219.09,218.308,218.98,208.5073,-4.660585276634661,13,86993.61538461539,45.63852,49.62764
2017-03-06,218.066,218.648,217.63,218.3,207.8598,-4.6803261397925375,4,90421.25,45.36596,48.83812
2017-03-06,218.066,218.648,217.63,218.3,207.8598,-4.6803261397925375,4,90421.25,45.63852,49.62764
2017-03-07,217.98,218.33,217.42,217.64,207.2314,-4.931002844297634,8,96046.625,45.46577,48.28428
2017-03-08,217.95,218.2096,217.07,217.18,206.7934,-5.118880477173663,6,91081.0,45.37472,48.55411
2017-03-09,217.33,217.836,216.46,217.41,207.0124,-4.747434776607002,4,58798.25,45.35116,48.61091
2017-03-10,218.55,218.5749,217.26,218.17,207.736,-4.948066803935037,3,14329.333333333336,45.5193,48.62363
2017-03-13,218.18,218.41,217.86,218.3,207.8598,-4.730131084425703,5,63663.4,45.58329000000001,48.65232
2017-03-14,217.77,217.81,216.89,217.56,207.1552,-4.874316939890711,2,81003.0,45.47269,49.06578
2017-03-15,218.13,219.85,217.87,219.37,208.8786,-4.241232292669504,7,87341.42857142858,44.59151,49.70044
2017-03-16,219.61,219.65,218.651,219.0,208.5263,-5.04699239561041,7,60466.285714285725,44.63105,49.73156
2017-03-17,219.3,219.44,218.56,218.56,208.1074,-5.103784769721841,9,28462.55555555556,44.47798,50.08054
2017-03-20,218.59,218.89,217.98,218.333,207.9265,-4.878310993183585,7,79965.71428571429,44.52505,50.08957
2017-03-21,219.0,219.13,215.41,215.58,205.2699,-6.269452054794518,4,61553.25,44.61454000000001,50.02016
2017-03-22,214.58,215.345,213.95,215.02,205.6889,-4.143489607605566,1,89890.0,44.10851,50.6463
2017-03-23,214.8,216.025,214.44,214.8,205.4785,-4.339618249534457,7,64068.857142857145,44.11869,50.66172
2017-03-24,215.14,215.7834,213.88,214.73,205.4115,-4.521939202379845,4,71565.75,44.35612,50.58176
2017-03-27,212.87,214.72,212.62,214.38,205.0767,-3.661060741297513,1,108475.0,44.28436,50.60625
2017-03-28,214.16,216.46,214.05,215.97,206.5977,-3.531144938363837,10,67640.8,43.37658,51.31355
2017-03-29,215.715,216.47,215.48,216.29,206.9038,-4.0846487263287266,4,66949.5,43.23234,51.65588
2017-03-30,216.17,217.13,215.98,216.87,207.4586,-4.029883887680991,9,43429.0,42.78091,51.80407
2017-03-31,216.56,217.11,216.35,216.35,206.9612,-4.432397487994095,8,55997.875,41.77287000000001,51.91686
2017-04-03,216.51,216.69,214.74,216.08,206.7029,-4.529629116438036,8,78293.5,41.49263,52.28128
2017-04-04,215.71,216.25,215.33,216.2,206.8177,-4.122340178943955,4,34058.0,41.28366,52.73132
2017-04-05,216.89,217.93,215.34,215.54,206.1863,-4.935082299783299,1,67325.0,41.72259,52.42102
2017-04-06,215.71,216.683,215.2288,216.1,206.722,-4.16670529878077,2,72062.5,41.74047,52.44886999999999
2017-04-07,215.86,216.64,215.4,215.91,206.5403,-4.317474288890953,1,0.0,41.51286,52.79503
2017-04-10,216.06,216.88,215.5,216.06,206.6838,-4.339627881144132,3,80275.33333333331,41.39298,52.95179
2017-04-11,215.63,215.88,214.25,215.79,206.4254,-4.268701015628623,5,64037.2,42.56668,51.78368
2017-04-12,215.49,215.69,214.62,214.9,205.5741,-4.601559237087578,6,69835.5,42.83318,51.76783
2017-04-13,214.5,215.24,213.4824,213.47,204.2062,-4.798974358974361,4,109970.25,42.90318,51.71242
2017-04-17,214.0,215.35,213.8,215.34,205.995,-3.7406542056074743,8,54553.75,43.4188,50.35167
2017-04-18,214.55,215.2445,213.977,214.75,205.4306,-4.250477744115597,7,54879.857142857145,43.50145,50.31609
2017-04-19,215.31,215.7,214.06,214.28,204.981,-4.797269053922255,4,63072.25,44.00313,50.52559
2017-04-20,214.98,216.5,214.62,216.03,206.6551,-3.8724067355102734,4,55047.5,44.05973,50.58625
2017-04-21,215.97,216.02,214.93,215.4,206.0524,-4.592119275825343,5,58142.8,44.04811,50.56432
2017-04-24,217.75,217.9358,217.23,217.7,208.2526,-4.361607347876005,7,45671.142857142855,44.23955,50.40123
2017-04-25,218.41,219.36,218.29,219.01,209.5057,-4.076873769516051,5,55348.4,43.502,50.69404
2017-04-26,218.96,219.898,218.81,218.85,209.3527,-4.387696382900991,9,53618.66666666666,44.06063,50.11729
2017-04-27,219.2,219.357,218.47,219.02,209.5153,-4.418202554744522,12,54274.33333333334,43.94151,50.25742
2017-04-28,219.33,219.34,218.43,218.6,209.1135,-4.658049514430322,4,50281.0,44.18594,50.13792
2017-05-01,219.16,219.573,218.65,219.13,209.6205,-4.352755977368135,2,36775.0,44.12144,50.34044
2017-05-02,219.29,219.38,218.77,219.2,209.6875,-4.378904646814717,4,52613.25,44.19493,50.27415
2017-05-03,218.78,219.17,218.24,218.98,209.4771,-4.252171130816342,4,58612.75,44.34391,49.80513
2017-05-04,219.27,219.3335,218.31,219.18,209.6684,-4.378893601495881,10,43695.3,44.23395,49.99863
2017-05-05,219.56,220.06,219.12,220.06,210.5102,-4.121789032610678,10,57092.6,44.06768,50.19212
2017-05-08,220.13,220.25,219.57,220.07,210.5197,-4.365738427292961,10,46950.6,44.14452,50.20971
2017-05-09,220.29,220.486,219.44,219.79,210.2519,-4.55676608107494,2,48665.5,44.17577,50.24742
2017-05-10,219.76,220.22,219.55,220.2,210.6441,-4.1481161266836475,11,59970.36363636363,42.81641,51.53957
2017-05-11,219.74,219.93,218.62,219.75,210.2136,-4.335305360881039,6,75599.5,42.88606,51.48355
2017-05-12,219.5,219.6,219.12,219.41,209.8884,-4.378861047835995,9,76708.0,42.59069,51.74759
2017-05-15,219.88,220.72,219.83,220.52,210.9502,-4.061215208295434,1,55356.0,42.67153,51.77419
2017-05-16,220.88,220.94,220.0,220.48,210.9119,-4.512902933719663,6,72828.0,41.78514000000001,52.59653
2017-05-17,218.61,219.07,216.42,216.57,207.1716,-5.232331549334432,1,69370.0,41.0498,53.19755
2017-05-18,216.33,218.24,216.13,217.36,207.9273,-3.8842046872833214,4,81746.25,40.4189,53.61588
2017-05-19,217.88,219.468,217.825,218.71,209.2188,-3.9752157150725207,3,67015.33333333331,39.62964,54.51856
2017-05-22,219.26,220.05,219.2438,219.93,210.3858,-4.047341056280216,2,33557.5,39.63826,54.53247
2017-05-23,220.31,220.54,219.897,220.36,210.7972,-4.317915664291226,4,97991.0,40.24492,54.416880000000006
2017-05-24,220.64,221.0,220.28,220.89,211.3042,-4.231236403190708,2,84294.5,39.81437,54.01662
2017-05-25,221.425,222.24,221.21,221.92,212.2894,-4.125821384215879,4,44726.75,39.91333,53.94801999999999
2017-05-26,221.76,222.0791,221.67,221.93,212.299,-4.266323953823948,4,68425.0,40.22279,53.76402
2017-05-30,221.56,221.97,221.42,221.72,212.0981,-4.270581332370471,5,51155.0,40.42588,53.90906999999999
2017-05-31,222.04,222.08,220.92,221.67,212.0503,-4.49905422446406,9,103168.66666666669,40.34653,53.96354
